precision,recall,f1-score,accuracy
0.0,0.0,0.0,0.575
0.00398406374501992,1.0,0.007936507936507936,0.375
0.005494505494505495,1.0,0.010928961748633882,0.5475
0.0044444444444444444,1.0,0.008849557522123894,0.44
0.0,0.0,0.0,0.8675
0.0,0.0,0.0,0.5225
0.005291005291005291,1.0,0.010526315789473682,0.53
0.0,0.0,0.0,0.5725
0.004694835680751174,1.0,0.009345794392523364,0.47
0.004739336492890996,1.0,0.009433962264150945,0.475
0.002680965147453083,1.0,0.0053475935828877,0.07
0.0045871559633027525,1.0,0.0091324200913242,0.4575
0.003125,1.0,0.006230529595015576,0.2025
0.002688172043010753,1.0,0.005361930294906166,0.0725
0.0,0.0,0.0,0.6175
0.002898550724637681,1.0,0.005780346820809248,0.14
0.002770083102493075,1.0,0.0055248618784530384,0.1
0.0037735849056603774,1.0,0.0075187969924812035,0.34
0.002967359050445104,1.0,0.005917159763313609,0.16
0.004464285714285714,1.0,0.008888888888888887,0.4425
0.0028735632183908046,1.0,0.005730659025787966,0.1325
0.0,0.0,0.0,0.51
0.003861003861003861,1.0,0.007692307692307693,0.355
0.0,0.0,0.0,0.41
0.0026666666666666666,1.0,0.005319148936170213,0.065
0.005847953216374269,1.0,0.011627906976744186,0.575
0.0027247956403269754,1.0,0.005434782608695652,0.085
0.004166666666666667,1.0,0.008298755186721992,0.4025
0.0,0.0,0.0,0.5
0.0028089887640449437,1.0,0.005602240896358543,0.1125
0.0,0.0,0.0,0.5175
0.0027100271002710027,1.0,0.005405405405405406,0.08
0.0,0.0,0.0,0.5
0.0,0.0,0.0,0.355
0.0,0.0,0.0,0.5
0.006211180124223602,1.0,0.01234567901234568,0.6
0.002976190476190476,1.0,0.005934718100890207,0.1625
0.0029411764705882353,1.0,0.005865102639296188,0.1525
0.0,0.0,0.0,0.7725
0.0033444816053511705,1.0,0.006666666666666666,0.255
0.002551020408163265,1.0,0.0050890585241730275,0.0225
0.0,0.0,0.0,0.6675
0.0,0.0,0.0,0.2025
0.0,0.0,0.0,0.345
0.0,0.0,0.0,0.3425
0.0030120481927710845,1.0,0.006006006006006006,0.1725
0.0,0.0,0.0,0.5875
0.0,0.0,0.0,0.485
0.0,0.0,0.0,0.415
0.003937007874015748,1.0,0.00784313725490196,0.3675
0.0027472527472527475,1.0,0.0054794520547945215,0.0925
0.0035842293906810036,1.0,0.0071428571428571435,0.305
0.005917159763313609,1.0,0.011764705882352941,0.58
0.0,0.0,0.0,0.4525
0.0,0.0,0.0,0.5
0.0,0.0,0.0,0.42
0.0033222591362126247,1.0,0.006622516556291392,0.25
0.004424778761061947,1.0,0.00881057268722467,0.4375
0.0,0.0,0.0,0.725
0.0037593984962406013,1.0,0.00749063670411985,0.3375
0.004424778761061947,1.0,0.00881057268722467,0.4375
0.004273504273504274,1.0,0.00851063829787234,0.4175
0.002770083102493075,1.0,0.0055248618784530384,0.1
0.00425531914893617,1.0,0.008474576271186442,0.415
0.0029154518950437317,1.0,0.005813953488372092,0.145
0.0,0.0,0.0,0.69
0.0025906735751295338,1.0,0.00516795865633075,0.0375
0.0035211267605633804,1.0,0.007017543859649122,0.2925
0.0028011204481792717,1.0,0.00558659217877095,0.11
0.0,0.0,0.0,0.75
0.002717391304347826,1.0,0.0054200542005420045,0.0825
0.0028328611898017,1.0,0.005649717514124295,0.12
0.0,0.0,0.0,0.445
0.0034602076124567475,1.0,0.006896551724137931,0.28
0.004878048780487805,1.0,0.009708737864077669,0.49
0.002932551319648094,1.0,0.005847953216374269,0.15
0.0036496350364963502,1.0,0.007272727272727273,0.3175
0.004347826086956522,1.0,0.008658008658008658,0.4275
